pk,jsondata,id,name,description,markup_description,analyzed,gloss,type,source,comment,original_script,xhtml,markup_text,markup_analyzed,markup_gloss,markup_comment,language_pk,version
1769,,1113,"mërante mapipi panirquit ""dedo""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>mërante mapipi panirquit</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>",,,,,1468,1
1770,,igt-1033,toto y-ahos ɨ-ye kamara,The jaguar grabbed the man.,,toto	y-ahos ɨ-ye	kamara,man	3:3-grab-DISTANT.PST	jaguar,,,,,,,"<i>toto </i>	<span style=""font-style:italic;"">y-ahos ɨ-ye</span>	<i>kamara </i>",man	3:3-grab-DISTANT.PST	jaguar,,2520,1
1771,,1115,instrumental marker: -nei,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-nei</dd>
  </dl>
</div>",,,,,20,1
1772,,1116,"'nxngxra ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>'nxngxra</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2060,1
1773,,igt-1034,Judas ahēng hine selfne.,Judas hanged himself.,,Judas	ahēng	hine	selfne.,Judas	hanged	him	self.ACC,,,,,,,<i>Judas </i>	<i>ahēng </i>	<i>hine </i>	<i>selfne. </i>,Judas	hanged	him	self.ACC,,2551,1
1774,,igt-1035,méa shish im ve-shalosh,163 (i.e. 100 + 6 x 10 + 3’),,méa	shish	im	ve-shalosh,hundred	six	ty	three,,,,,,,méa	shish	im	ve-shalosh,hundred	six	ty	three,"<div class=""comments"">
  <p> </p>
</div>",2511,1
1775,,1119,humar ‘child’ humaar ‘children’ nchen ‘older sibling nchiin ‘older siblings’ hat ‘dog’ haat ‘dogs’ mhay,,,,,,,,,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">humar </p>
        </td>
        <td>
          <p>‘child’ </p>
        </td>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">humaar </p>
        </td>
        <td>
          <p>‘children’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">nchen </p>
        </td>
        <td>
          <p>‘older sibling </p>
        </td>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">nchiin </p>
        </td>
        <td>
          <p>‘older siblings’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">hat </p>
        </td>
        <td>
          <p>‘dog’ </p>
        </td>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">haat </p>
        </td>
        <td>
          <p>‘dogs’ </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">mhay </p>
        </td>
        <td>
          <p>‘boy’ </p>
        </td>
        <td>
          <p style=""font-style:italic;"" xml:lang=""mrc"">mhaa </p>
        </td>
        <td>
          <p>‘boys’ </p>
        </td>
      </tr>
    </table>
  </div>
  
",,,,,2479,1
1776,,igt-1036,na [mo me] [ke na] hohui-në-taya,And we look for fish with these.,,na	[mo	me]	[ke	na]	hohui-në-taya,and	fish	OBJ	these	with	look.for-1.SUBJ-3PL.OBJ,,,,,,,<i>na </i>	<i>[mo </i>	<i>me] </i>	<i>[ke </i>	<i>na] </i>	<i>hohui-në-taya </i>,and	fish	OBJ	these	with	look.for-1.SUBJ-3PL.OBJ,,1560,1
1777,,igt-1037,si Juan yan si Maria,Juan and Maria,,si	Juan	yan	si	Maria,ART	Juan	and	ART	Maria,,,,,,,"<span style=""font-style:italic;""><i>si</i></span>	<span style=""font-style:italic;""><i>Juan</i></span>	<span style=""font-style:italic; font-weight:bold;""><i><b>yan</b></i></span>	<span style=""font-style:italic;""><i>si</i></span>	<span style=""font-style:italic;""><i>Maria</i></span>",ART	Juan	and	ART	Maria,,2508,1
1778,,igt-1038,Kumakati yan chumachalek i palao'an.,The woman is crying and laughing.,,Kumakati	yan	chumachalek	i	palao'an.,cry	and	laugh	ART	woman,,,,,,,"<span style=""font-style:italic;""><i>Kumakati</i></span>	<span style=""font-style:italic; font-weight:bold;""><i><b>yan</b></i></span>	<span style=""font-style:italic;""><i>chumachalek</i></span>	<span style=""font-style:italic;""><i>i</i></span>	<span style=""font-style:italic;""><i>palao'an.</i></span>",cry	and	laugh	ART	woman,,2508,1
1779,,igt-1039,Malago' yo' ni lepblo ya ku fahan.,I wanted the book and I bought it.,,Malago'	yo'	ni	lepblo	ya	ku	fahan.,want	I	ART	book	and	I	buy,,,,,,,"<span style=""font-style:italic;""><i>Malago'</i></span>	<span style=""font-style:italic;""><i>yo'</i></span>	<span style=""font-style:italic;""><i>ni</i></span>	<span style=""font-style:italic;""><i>lepblo</i></span>	<span style=""font-style:italic; font-weight:bold;""><i><b>ya</b></i></span>	<span style=""font-style:italic;""><i>ku</i></span>	<span style=""font-style:italic;""><i>fahan.</i></span>",want	I	ART	book	and	I	buy,,2508,1
1780,,igt-1040,Veo el libro.,I see the book.,,Veo	el	libro.,see.1SG	the	book,,,,,,,"<span style=""font-style:italic;""><i>Veo</i></span>	<span style=""font-style:italic;""><i>el</i></span>	<span style=""font-style:italic;""><i>libro.</i></span>",see. 1SG	the	book,,2548,1
1781,,igt-1041,Le veo a Juan.,I see Juan.,,Le	veo	a	Juan.,3SG.OBJ	see.1SG	DAT	Juan,,,,,,,"<span style=""font-style:italic;""><i>Le</i></span>	<span style=""font-style:italic;""><i>veo</i></span>	<span style=""font-style:italic;""><i>a</i></span>	<span style=""font-style:italic;""><i>Juan.</i></span>",3SG.OBJ	see. 1SG	DAT	Juan,,2548,1
1782,,igt-1042,Le doy el libro a Juan.,I give the book to Juan.,,Le	doy	el	libro	a	Juan.,3SG.OBJ	give .1SG	the	book	DAT	Juan,,,,,,,"<span style=""font-style:italic;""><i>Le</i></span>	<span style=""font-style:italic;""><i>doy</i></span>	<span style=""font-style:italic;""><i>el</i></span>	<span style=""font-style:italic;""><i>libro</i></span>	<span style=""font-style:italic;""><i>a</i></span>	<span style=""font-style:italic;""><i>Juan.</i></span>",3SG.OBJ	give .1SG	the	book	DAT	Juan,,2548,1
1783,,1123,"ò, lè, là, ì, ŋ, mà ‘3 rd pronouns’ showing noun class distinctions hóò, lêŋ, lâŋ, etc. ‘proximate dem.’",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>ò, lè, là, ì, ŋ, mà</i></p>
</td>
<td>
<p>‘3<sup>rd</sup> pronouns’ showing noun class distinctions</p>
</td>
</tr>
<tr>
<td>
<p><i>hóò, lêŋ, lâŋ,</i> etc.</p>
</td>
<td>
<p>‘proximate dem.’</p>
</td>
</tr>
<tr>
<td>
<p><i>kóN, léN, lâN,</i> etc.</p>
</td>
<td>
<p>‘remote dem.’</p>
</td>
</tr>
</table></div>",,,,,2311,1
1784,,1124,[word for arm/hand does not denote finger],,,,,,,,,"<div class=""Example""><p>[word for arm/hand does not denote finger]</p></div>",,,,,2228,1
1785,,1125,"djari ""finger"" djeridji ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>djari</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
<tr>
<td>
<p>djeridji</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,2545,1
1786,,1126,"okhore ""(the little) finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>okhore</p>
</td>
<td>
<p>""(the little) finger""</p>
</td>
</tr>
</table></div>",,,,,2200,1
1787,,1127,tí,,,,,,,,,"<div class=""Example""><p><i>tí</i></p></div>",,,,,2450,1
1788,,1128,instrumental and comitative marker: -(ŋ)ár,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-(ŋ)ár</dd>
  </dl>
</div>",,,,,1875,1
1810,,1151,instrumental and comitative marker: nɛ,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>nɛ</dd>
  </dl>
</div>",,,,,2276,1
1811,,1152,"wã'bṍ-hṍã ""finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>wã'bṍ-hṍã</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>",,,,,463,1
1812,,1153,instrumental marker: -ntu,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-ntu</dd>
  </dl>
</div>",,,,,2213,1
1814,,1155,"ARM: fecacaìro ""brazo"" nocaìro ""brazo, mango de la tapa de una olla"" HAND: onollɨ ""mano"" onoɨ ""mano""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: fecacaìro</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>nocaìro</p>
</td>
<td>
<p>""brazo, mango de la tapa de una olla""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: onollɨ</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
<tr>
<td>
<p>onoɨ</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>",,,,,2094,1
1789,,1129,"ARM: w₂a n ja AnaWu ""arm"" w₂a n ja NcAnaWu ""arm"" a r a AnaWu ""arm"" a r a NcAnaWu ""arm"" yarga AnaWu ""arm""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: w₂a<u>n</u>ja AnaWu</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>w₂a<u>n</u>ja NcAnaWu</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>a<u>r</u>a AnaWu</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>a<u>r</u>a NcAnaWu</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>yarga AnaWu</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>yarga NcAnaWu</p>
</td>
<td>
<p>""arm; flipper (of turtle)""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ma<u>r</u>an<sup>g</sup> AnaWu</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
<tr>
<td>
<p>ma<u>r</u>an<sup>g</sup> NcAnaWu</p>
</td>
<td>
<p>""hand; fingers""</p>
</td>
</tr>
</table></div>",,,,,2452,1
1790,,1130,"ARM: onikama ""arm"" HAND: onindjima ""hand, or finger""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: onikama</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: onindjima</p>
</td>
<td>
<p>""hand, or finger""</p>
</td>
</tr>
</table></div>",,,,,732,1
1791,,1131,instrumental and comitative marker: -kì,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>-kì</dd>
  </dl>
</div>",,,,,2294,1
1792,,1132,"ARM: ndaha yo ""brazo"" [S-M only] HAND: ndaha yo ""la mano""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: ndaha yo</p>
</td>
<td>
<p>""brazo"" [S-M only]</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ndaha yo</p>
</td>
<td>
<p>""la mano""</p>
</td>
</tr>
</table></div>",,,,,398,1
1793,,1133,çaj,,,,,,,,,"<div class=""Example""><p><i>çaj</i></p></div>",,,,,2374,1
1794,,igt-1043,Eni - je guleseg - du bi - d’ere - 0,Mother and her relatives are in the village,,Eni - je	guleseg - du	bi - d’ere - 0,mother - PL	village - DAT	be - pres - 3PL,,,,,,,"Eni<span class=""s2"">-</span>je	guleseg<span class=""s2"">-</span>du	bi<span class=""s2"">-</span>d’ere<span class=""s2"">-</span>0","mother<span class=""s2"">-</span>PL	village<span class=""s2"">-</span>DAT	be<span class=""s2"">-</span>pres<span class=""s2"">-</span>3PL","<div class=""comments"">
  <p>a.</p>
<p>ami-ja</p>
<p>‘father and his relatives’</p>
<p>b.</p>
<p>eni-je</p>
<p>‘mother and her relatives’</p>
<p>c.</p>
<p>Hovoko-jo</p>
<p>‘Hovoko and his relatives’</p>
<p>d.</p>
<p>Petrov-ja</p>
<p>‘Petrov and his relatives’</p>
<p>e.</p>
<p>“A collective meaning is expressed by the suffix-jA with personal nouns denoting names, family names and some kinship terms ...”</p>
<p>(Nedjalkov 1996: 121-2, 126, 190-1)</p>
</div>",2535,1
1795,,1135,"ARM: kilx ""hand(s) or arm(s)"" HAND: kilx ""hand(s) or arm(s)""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: kilx</p>
</td>
<td>
<p>""hand(s) or arm(s)""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: kilx</p>
</td>
<td>
<p>""hand(s) or arm(s)""</p>
</td>
</tr>
</table></div>",,,,,824,1
1796,,1136,"ARM: shakba ""the arm; a sleeve"" ibbak ""the hand; the arm as far up as the elbow; the paw"" HAND: ibbak",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: shakba</p>
</td>
<td>
<p>""the arm; a sleeve""</p>
</td>
</tr>
<tr>
<td>
<p>ibbak</p>
</td>
<td>
<p>""the hand; the arm as far up as the elbow; the paw""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ibbak</p>
</td>
<td>
<p>""the hand; the arm as far up as the elbow; the paw""</p>
</td>
</tr>
</table></div>",,,,,2186,1
1797,,igt-1044,bɛrʊma tāā la fī pēē la ıtāā,373,,bɛrʊma	tāā	la	fī	pēē	la	ıtāā,hundred.pl	three	and	ten	seven	and	three,,,,,,,bɛrʊma	tāā	la	fī	pēē	la	ıtāā,hundred.pl	three	and	ten	seven	and	three,"<div class=""comments"">
  <p> –304</p>
</div>",2466,1
1798,,1138,"ARM: cheyivá ""brazo"" HAND: chepó ""mano""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: cheyivá</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: chepó</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>",,,,,460,1
1799,,1139,"vinleetth'ak ""his fingers""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>vinleetth'ak</p>
</td>
<td>
<p>""his fingers""</p>
</td>
</tr>
</table></div>",,,,,365,1
1800,,1140,"nyála ""finger, toe""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>nyála</p>
</td>
<td>
<p>""finger, toe""</p>
</td>
</tr>
</table></div>",,,,,343,1
1801,,1141,"ARM: c'obil ""brazo, mano"" HAND: c'obil ""brazo, mano""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: c'obil</p>
</td>
<td>
<p>""brazo, mano""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: c'obil</p>
</td>
<td>
<p>""brazo, mano""</p>
</td>
</tr>
</table></div>",,,,,1853,1
1802,,igt-1045,jər ə kəpai ŋara tuwaɹa,the crocodile's tail,,jər ə kəpai	ŋara	tuwaɹa,crocodile	he	tail,,,,,,,"<span style=""font-style:italic;""><i>jər</i></span> <span style=""font-style:italic;""><i>ə</i></span> <span style=""font-style:italic;""><i>kəpai</i></span>	<span style=""font-style:italic;""><i>ŋara</i></span>	<span style=""font-style:italic;""><i>tuwaɹa</i></span>",crocodile	he	tail,,2499,1
1803,,igt-1046,ŋara tuwaɹa jərək ə pai,id.,,ŋara	tuwaɹa	jərək ə pai,he	tail	crocodile,,,,,,,"<span style=""font-style:italic;""><i>ŋara</i></span>	<span style=""font-style:italic;""><i>tuwaɹa</i></span>	<span style=""font-style:italic;""><i>jərək</i></span> <span style=""font-style:italic;""><i>ə</i></span> <span style=""font-style:italic;""><i>pai</i></span>",he	tail	crocodile,,2499,1
1804,,1143,čaj,,,,,,,,,"<div class=""Example""><p><i>čaj</i></p></div>",,,,,2050,1
1805,,1146,"ARM: taklay ""arm"" líma ""hand and arm"" HAND: líma ""hand and arm""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: taklay</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>líma</p>
</td>
<td>
<p>""hand and arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: líma</p>
</td>
<td>
<p>""hand and arm""</p>
</td>
</tr>
</table></div>",,,,,1791,1
1806,,1147,comitative marker: wajjin,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>wajjin</dd>
  </dl>
</div>",,,,,2513,1
1807,,igt-1049,hâa rɔ́ɔy sìi sìp èt,541,,hâa	rɔ́ɔy	sìi	sìp	èt,five	hundred	four	ten	one,,,,,,,hâa	rɔ́ɔy	sìi	sìp	èt,five	hundred	four	ten	one,"<div class=""comments"">
  <p> . Thai: an essential grammar. London: Routledge.</p>
</div>",2514,1
1808,,1149,"ARM: kaïnebi ""brazo"" HAND: terva ""mano"" yukébé ""mano""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: kaïnebi</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: terva</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
<tr>
<td>
<p>yukébé</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>",,,,,2254,1
1809,,1150,"ARM: mala ""arm"" HAND: maḍa ""hand""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: mala</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: maḍa</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>",,,,,537,1
1815,,1156,khunɛʔ (animate) ‘3 rd pronouns’ khɛŋ (all) ‘3 rd pronouns’ kɔŋ ‘this’ khɛŋ ‘that’,,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>khunɛʔ</i> (animate)</p>
</td>
<td>
<p>‘3<sup>rd</sup> pronouns’</p>
</td>
</tr>
<tr>
<td>
<p><i>khɛŋ</i> (all)</p>
</td>
<td>
<p>‘3<sup>rd</sup> pronouns’</p>
</td>
</tr>
<tr>
<td>
<p><i>kɔŋ</i></p>
</td>
<td>
<p>‘this’</p>
</td>
</tr>
<tr>
<td>
<p><i>khɛŋ</i></p>
</td>
<td>
<p>‘that’</p>
</td>
</tr>
</table></div>",,,,,2277,1
1816,,1157,"woipó ""digitus""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>woipó</p>
</td>
<td>
<p>""digitus""</p>
</td>
</tr>
</table></div>",,,,,1192,1
1817,,igt-1051,Men-en kauppa-an [ osta-a-kse-ni ruoka-a].,I am going to the shop in order to buy food.,,Men-en	kauppa-an	[ osta-a-kse-ni	ruoka-a].,go-1 SG	shop- ILL	buy- INF-TRASL  -1 POSS	food -PRTV,,,,,,,"<i>Men-en </i>	<i>kauppa-an </i>	<span style=""font-style:italic;""><i>[</i></span> <span style=""font-style:italic; font-weight:bold;""><i><b>osta-a-kse-ni</b></i></span>	<i><b>ruoka-a]. </b></i>",go-1 SG	shop- ILL	buy- INF-TRASL  -1 POSS	food -PRTV,,2546,1
1818,,igt-1052,[kayukayu= ni buru] i-na-nya-rn-dyarra-yirr mudiga,The soft sands caught our car.,,[kayukayu= ni	buru]	i-na-nya-rn-dyarra-yirr	mudiga,[soft= erg	sand]	3-TR-catch-IMPF-1AUG.DAT-PL	motorcar,,,,,,,"<span style=""font-style:italic;"">[kayukayu=<b>ni</b> </span>	<i>buru] </i>	<i>i-na-nya-rn-dyarra-yirr </i>	<i>mudiga </i>","[soft=<span style=""font-weight:bold; font-variant: small-caps;"">erg</span>	sand]	3-TR-catch-IMPF-1AUG.DAT-PL	motorcar",,1378,1
1819,,igt-1053,Ram - ko,Ram and his family,,Ram - ko,Ram - PL,,,,,,,"Ram<span class=""s2"">-</span>ko","Ram<span class=""s2"">-</span>PL","<div class=""comments"">
  <p>(Karen Grunow-Harsta, p.c.)</p>
</div>",1314,1
1820,,igt-1054,Ram - ra,Ram and his family,,Ram - ra,Ram - and,,,,,,,"Ram<span class=""s2"">-</span>ra","Ram<span class=""s2"">-</span>and","<div class=""comments"">
  <p>(Karen Grunow-Harsta, p.c.)</p>
</div>",1314,1
1821,,1161,1sg mich (accusative) mein (possessive) 2sg dich (accusative) dein (possessive),,,,,,,,,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p style=""font-variant: small-caps;"">1sg </p>
        </td>
        <td>
          <p style=""font-style:italic;"">mich </p>
        </td>
        <td>
          <p>(accusative) </p>
        </td>
      </tr>
      <tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p style=""font-style:italic;"">mein </p>
        </td>
        <td>
          <p>(possessive) </p>
        </td>
      </tr>
      <tr>
        <td>
          <p style=""font-variant: small-caps;"">2sg </p>
        </td>
        <td>
          <p style=""font-style:italic;"">dich </p>
        </td>
        <td>
          <p>(accusative) </p>
        </td>
      </tr>
      <tr>
        <td>
          <p> </p>
        </td>
        <td>
          <p style=""font-style:italic;"">dein </p>
        </td>
        <td>
          <p>(possessive) </p>
        </td>
      </tr>
    </table>
  </div>
  
",,,,,2539,1
1822,,igt-1055,degehní biʔməí nú ma kú,my brother was born there,,degehní	biʔməí	nú	ma	kú,there	he.was.born	that	my	brother,,,,,,,degehní	biʔməí	nú	ma	kú,there	he.was.born	that	my	brother,"<div class=""comments"">
  <p> </p>
</div>",2409,1
1823,,igt-1056,na trěni bišip̌í ra bĭna …,Mrs Trinidad told Vina ...,,na	trěni	bišip̌í	ra	bĭna	…,Mrs	Trinidad	she.told.her	the	Vina	,,,,,,,na	trěni	bišip̌í	ra	bĭna	…,Mrs	Trinidad	she.told.her	the	Vina	,"<div class=""comments"">
  <p> </p>
</div>",2409,1
1824,,igt-1057,grímǎ gé,you go!,,grímǎ	gé,go	you,,,,,,,grímǎ	gé,go	you,"<div class=""comments"">
  <p> </p>
</div>",2409,1
1825,,igt-1058,hín dánaʔmbí ga,I didn’t hit him,,hín	dánaʔmbí	ga,not	I.hit.him	I,,,,,,,hín	dánaʔmbí	ga,not	I.hit.him	I,"<div class=""comments"">
  <p> </p>
</div>",2409,1
1826,,igt-1059,ert man et i,None,,ert	man	et	i,one	ERG	one	NOM,,,,,,,ert	man	et	i,one	ERG	one	NOM,"<div class=""comments"">
  <p>reciprocal marker:</p>
</div>",2526,1
1827,,igt-1060,ert i me or e,None,,ert	i	me	or	e,one	NOM	ORD	two	ORD,,,,,,,ert	i	me	or	e,one	NOM	ORD	two	ORD,"<div class=""comments"">
  <p>reciprocal marker:</p>
</div>",2526,1
1828,,1164,comitative marker: kod,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>kod</dd>
  </dl>
</div>",,,,,2301,1
1829,,igt-1061,ija od-ude-ce-min na qete-i-a,I made him cut the tree.,,ija	od-ude-ce-min	na	qete-i-a,1 SG	do-3 SG  - SR  -1 SG	tree	cut-3 SG-TOD.PST,,,,,,,<i>ija </i>	<i>od-ude-ce-min </i>	<i>na </i>	<i>qete-i-a </i>,1 SG	do-3 SG  - SR  -1 SG	tree	cut-3 SG-TOD.PST,,2538,1
1830,,1166,"There are no politeness distinctions in pronouns (bound and
free), but there are politeness strategies in the formation of
imperatives.",,,,,,,,,"<div class=""Example"">
<p>There are no politeness distinctions in pronouns (bound and
free), but there are politeness strategies in the formation of
imperatives.</p></div>",,,,,2459,1
1831,,1167,3 rd pronouns same as demonstratives yiŋu ‘this’ ŋuŋu ‘that’ yuŋu ‘yonder’,,,,,,,,,"<div class=""Example""><p>3<sup>rd</sup> pronouns same as demonstratives</p>
<table class=""example"">
<tr>
<td>
<p><i>yiŋu</i></p>
</td>
<td>
<p>‘this’</p>
</td>
</tr>
<tr>
<td>
<p><i>ŋuŋu</i></p>
</td>
<td>
<p>‘that’</p>
</td>
</tr>
<tr>
<td>
<p><i>yuŋu</i></p>
</td>
<td>
<p>‘yonder’</p>
</td>
</tr>
</table></div>",,,,,2434,1
1832,,igt-1062,(di)-pa-gá,'go',,(di)-pa-gá,(PRES)-go-1.SG,,,,,,,(di)-pa-gá,(PRES)-go-1.SG,"<div class=""comments"">
  <p> </p>
</div>",1000,1
1833,,igt-1063,di-mi-pá-gá,'go',,di-mi-pá-gá,IMPF-IMPF-go-1.SG,,,,,,,di-mi-pá-gá,IMPF-IMPF-go-1.SG,"<div class=""comments"">
  <p> </p>
</div>",1000,1
1834,,igt-1064,d ʌ -ma-gá,'go',,d ʌ -ma-gá,PRET-go-1.SG,,,,,,,"d<span class=""s1"">ʌ</span>-ma-gá",PRET-go-1.SG,"<div class=""comments"">
  <p> </p>
</div>",1000,1
1835,,igt-1065,št ʌ -mǎ-gá,'go',,št ʌ -mǎ-gá,PERF-go-1.SG,,,,,,,"št<span class=""s1"">ʌ</span>-mǎ-gá",PERF-go-1.SG,"<div class=""comments"">
  <p> </p>
</div>",1000,1
1836,,igt-1066,g ʌ -ma-gá,'go',,g ʌ -ma-gá,FUT-go-1.SG,,,,,,,"g<span class=""s1"">ʌ</span>-ma-gá",FUT-go-1.SG,"<div class=""comments"">
  <p> </p>
</div>",1000,1
1861,,1188,"nileči, nilečali ""my finger-s""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>nileči, nilečali</p>
</td>
<td>
<p>""my finger-s""</p>
</td>
</tr>
</table></div>",,,,,597,1
1862,,1189,instrumental and comitative marker: me,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>me</dd>
  </dl>
</div>",,,,,2374,1
1838,,1170,pronominal and adnominal identical: (ɨnd-r) ɨnd-ar-r ɨnd-ur-r (neutral) proximal distal,,,,,,,,,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">(ɨnd-r)</p>
<p class=""p1"">ɨnd-ar-r</p>
<p class=""p1"">ɨnd-ur-r</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">(neutral)</p>
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>",,,,,2480,1
1839,,1171,"ARM: 'pihtinahqem ""his arm (excluding the hand)"" HAND: 'pihtin ""his hand; his forearm (including the hand)""",,,,,,,,,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: 'pihtinahqem</p>
</td>
<td>
<p>""his arm (excluding the hand)""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: 'pihtin</p>
</td>
<td>
<p>""his hand; his forearm (including the hand)""</p>
</td>
</tr>
</table></div>",,,,,2385,1
1840,,igt-1067,aof [ro ana m-fat],the sago tree that they felled,,aof	[ro	ana	m-fat],sago	[REL	3PL	3OBJ-fell],,,,,,,<i>aof </i>	<i>[ro </i>	<i>ana </i>	<i>m-fat] </i>,sago	[REL	3PL	3OBJ-fell],,2505,1
1841,,1173,instrumental marker: -ni,,,,,,,,,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-ni</dd>
  </dl>
</div>",,,,,1667,1
