id,language_id,language_name,xhtml
411,urd,Urdu,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>se</dd>
  </dl>
</div>"
412,ykt,Yakut,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-lȳn</dd>
  </dl>
</div>"
413,che,Cherokee,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: kanoge, kanogeni</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: uwoyeni</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
414,srm,Saramaccan,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>téì</dd>
  </dl>
</div>"
415,heb,Hebrew (Modern),"<div class=""comments"">
  <p> </p>
</div>"
416,knr,Kanuri,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-(K)a</dd>
  </dl>
</div>"
417,hmu,Witoto Muinane,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>onócaì̵</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
418,hau,Hausa,"<div class=""comments"">
  <p>reciprocal marker: jūnā- (POSS.PERS)</p>
</div>"
419,kha,Khalkha,
420,san,Sango,"<div class=""Example""><p><i>sai; duté</i></p></div>"
421,cpa,Campa (Pajonal Asheninca),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>acoempiqui</p>
</td>
<td>
<p>""dedo""</p>
</td>
</tr>
</table></div>"
422,fre,French,
423,yin,Yindjibarndi,"<div class=""Example"">
<p>In Yindjibarndi exist two pronouns in the dual for each singular
pronoun, one for 'same generation' and an other for 'adjacent
generations'. The first is used in references to any two</p>
<p>persons who are exactly in the same generation level or are in
generation levels which are separated by an even nunmber of
generations; for example 'two brothers', 'a man and his sister in
law' 'a woman and her grandmother', 'a man and his great uncle'.
The second in used in respect of two persons who are seperated by
an odd number of generations; for example 'a man and his son', 'a
woman and her aunt', 'a man and his great grandmother'.</p></div>"
424,chn,Chantyal,"<div class=""comments"">
  <p>(Michael Noonan, p.c.)</p>
</div>"
425,wyn,Wayana,"<div class=""comments"">
  
</div>"
426,xun,!Xun (Ekoka),"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>ǀxoa</dd>
  </dl>
</div>"
427,jak,Jakaltek,"<div class=""comments"">
  <p> </p>
</div>"
428,tag,Tagalog,"<div class=""comments"">
  <p> </p>
<p>note: Examples have been selected where none of S, A, or P is in “focus”; under this condition, all of S, A, and P have the same form, glossed as <span style=""font-variant:small-caps""><span style=""font-variant:small-caps"">neut</span></span>(neutral).</p>
</div>"
429,jpn,Japanese,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>yubi</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
430,klz,Ikalanga,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: bókó</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: azha</p>
</td>
<td>
<p>""hand; the palm of the hand""</p>
</td>
</tr>
</table></div>"
431,qch,Quiché,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-ibe(h)-</dd>
  </dl>
</div>"
432,eng,English,"<div class=""comments"">
  
</div>"
433,khs,Khasi,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>u</i> (M), <i>ka</i> (F)</p>
</td>
<td>
<p>’3<sup>rd</sup> pronouns’</p>
</td>
</tr>
<tr>
<td>
<p>personal pronoun + -<i>ne</i></p>
</td>
<td>
<p>‘proximate’</p>
</td>
</tr>
<tr>
<td>
<p>-<i>to</i></p>
</td>
<td>
<p>‘medial’</p>
</td>
</tr>
<tr>
<td>
<p><i>-tay</i></p>
</td>
<td>
<p>‘remote’ demonstratives</p>
</td>
</tr>
</table></div>"
434,bsq,Basque,"<div class=""comments"">
  <p>source: Oroitz Jauregi p.c.</p>
</div>"
435,nya,Nyawaygi,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-gi</dd>
  </dl>
</div>"
436,bab,Babungo,
437,grw,West Greenlandic,
438,lrd,Lardil,"<div class=""comments"">
  <p>reciprocal marker: -nji-</p>
</div>"
439,uhi,Uradhi,
440,baw,Bawm,
441,yim,Yimas,
442,pal,Palauan,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>cheldíngel</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
<tr>
<td>
<p>cheldngelel a chim</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
443,lan,Lango,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;"">sg </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;"">pl </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Set A </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Set B </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Set A </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>Set B </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;"">1 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ǎ- </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">â- </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ǒ- </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ô- </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;"">2 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ǐ- </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">î- </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ǐ-wùnú </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">î-wunu </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;"">3 </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>
            <span style=""font-style:italic;"">ò</span>
            <span>-(perf,subj</span>
            <span>)</span>
          </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">à- </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ɪ̌ </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-style:italic;"">ɪ̌- </p>
        </td>
      </tr>
      <tr>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p>
            <span style=""font-style:italic;"">Ø-</span>
            <span>(</span>
            <span>hab</span>
            <span>)</span>
          </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
        <td style=""vertical-align:top; padding-left:0.075in; padding-right:0.075in; padding-top:0in; padding-bottom:0in; border-style:none;"">
          <p style=""font-variant:small-caps;""> </p>
        </td>
      </tr>
    </table>
  </div>
  
"
444,stl,Santali,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>kạṭup'</p>
</td>
<td>
<p>""a finger""</p>
</td>
</tr>
</table></div>"
446,mrt,Martuthunira,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-ngka ~ -la ~ -ta ~ -rta ~ -tha ~ -a[eff]</dd>    <dt>Example:</dt>
    <dd><p><i><span>Kartu<span>                  </span>jamanu</span></i></p><p><span lang=""DE""><span style=""font-variant: small-caps"">2sg.nom<span>             </span></span></span><span>foot</span></p><p><i><span>wurnta-nnguli-yirri<span>       </span>parla-ngku<span>       </span>jurirri-lu</span></i></p><p><span>cut-<span><span style=""font-variant:small-caps"">pass-lest<span>                   </span></span></span>stone-<span><span style=""font-variant:small-caps"">eff<span>           </span></span></span>sharp-<span><span style=""font-variant:small-caps"">eff</span></span></span></p><p><span>'Your foot might get cut by a sharp stone.'</span></p></dd>

  </dl>
</div>"
447,gir,Gula (Chad),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>kárā</p>
</td>
<td>
<p>""doigt""</p>
</td>
</tr>
</table></div>"
448,yid,Yidiny,
449,por,Portuguese,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>com</dd>
  </dl>
</div>"
450,mmv,Mamvu,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-i</dd>
  </dl>
</div>"
451,ldn,Ladin,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>con</dd>
  </dl>
</div>"
452,aco,Acoma,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal identical:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">dúẃa</p>
<p class=""p1"">hée</p>
<p class=""p1"">wée</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">medial</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
453,sml,Semelai,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p><i>kəh</i></p>
</td>
<td>
<p>’3<sup>rd</sup> pronoun’</p>
</td>
</tr>
<tr>
<td>
<p><i>ki</i></p>
</td>
<td>
<p>(identifiable 3<sup>rd</sup>)</p>
</td>
</tr>
<tr>
<td>
<p><i>ʔ</i><i>nɔ</i><i>ʔ</i></p>
</td>
<td>
<p>‘this’</p>
</td>
</tr>
<tr>
<td>
<p><i>ke</i></p>
</td>
<td>
<p>‘that’</p>
</td>
</tr>
</table></div>"
454,shk,Shipibo-Konibo,"<div class=""comments"">
  <p> , vol.1</p>
</div>"
455,tos,Totonac (Sierra),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: pakni'</p>
</td>
<td>
<p>""brazo, rama""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: macan</p>
</td>
<td>
<p>""mano, manga (de camisa)""</p>
</td>
</tr>
</table></div>"
456,ala,Alamblak,
457,kew,Kewa,"<div class=""comments"">
  <p> </p>
</div>"
458,arg,Arabic (Gulf),"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>bi-</dd>
  </dl>
</div>"
459,ygr,Yagaria,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">ma</p>
<p class=""p1"">na</p>
</td>
<td class=""td11"" valign=""top"">
<p class=""p1"">maˈi / ma=</p>
<p class=""p1"">naˈi / na=</p>
<p class=""p1"">aˈi</p>
</td>
<td class=""td7"" valign=""top"">
<p class=""p1"">near S</p>
<p class=""p1"">near H</p>
<p class=""p1"">away from S+H</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
460,kay,Kayardild,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-nguni</dd>
  </dl>
</div>"
461,ain,Ainu,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">taan pe</p>
<p class=""p1"">toon pe</p>
</td>
<td class=""td5"" valign=""top"">
<p class=""p1"">taan</p>
<p class=""p1"">toon</p>
</td>
<td class=""td6"" valign=""top"">
<p class=""p1"">proximal</p>
<p class=""p1"">distal</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
462,sre,Sre,"<div class=""comments"">
  <dl>
    <dt>instrumental and comitative marker:</dt>
    <dd>mə</dd>
  </dl>
</div>"
463,rus,Russian,
464,tna,Turkana,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ekimoin</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
<tr>
<td>
<p>ngimoyo</p>
</td>
<td>
<p>""finger""</p>
</td>
</tr>
</table></div>"
465,oix,Otomi (Ixtenco),"<div class=""comments"">
  
</div>"
466,bno,Barasano (Northern),"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: di'ká pĩi</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: ã́'bṍ</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
467,yah,Yamana,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: kamaïn</p>
</td>
<td>
<p>""brazo""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: Mar'po</p>
</td>
<td>
<p>""mano""</p>
</td>
</tr>
</table></div>"
468,cla,Clallam,"<div class=""example""><table class=""example""><tr>
        <td>
          <p>
            <span style=""font-style:italic;"">ŋ</span>
            <span style=""font-style:italic;"">ǝ</span>
            <span style=""font-style:italic;"">sc</span>
            <span style=""font-style:italic;"">ǝ</span>
            <span style=""font-style:italic;"">nʔ</span>
          </p>
        </td>
        <td>
          <p>
            <span>'louse'</span>
          </p>
        </td>
      </tr>
      </table></div>"
469,brs,Barasano,"<div class=""example"">
    <table border=""0"">
      
      <tr>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">1sg</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-ha</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">1pl</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-ha</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">2sg</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-ha</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">2pl</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-ha</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">3sg.m</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-bõ</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">3pl.anim</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-bã</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">3sg.f</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-bĩ</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">3pl.inan</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-Ø</span>
          </p>
        </td>
      </tr>
      <tr>
        <td>
          <p>
            <span style=""font-variant:small-caps;"">3sg.inan</span>
          </p>
        </td>
        <td>
          <p>
            <span style=""font-style:italic;"">-ha</span>
          </p>
        </td>
        <td>
          <p> </p>
        </td>
        <td>
          <p> </p>
        </td>
      </tr>
    </table>
  </div>
  
"
470,auy,Auyana,"<div class=""comments"">
  <dl>
    <dt>comitative marker:</dt>
    <dd>-yen</dd>
  </dl>
</div>"
471,tas,Shilha,"<div class=""Example""><p class=""p1""> </p>
<p class=""p1"">pronominal and adnominal differentiated:</p>
<p class=""p1""> </p>
<table cellpadding=""0"" cellspacing=""0"" class=""t1"">
<tbody>
<tr>
<td class=""td4"" valign=""top"">
<p class=""p1"">ɣwa(d)</p>
<p class=""p1"">ɣwanna</p>
<p class=""p1"">ɣwann</p>
</td>
<td class=""td11"" valign=""top"">
<p class=""p1"">=ad</p>
<p class=""p1"">=nna</p>
<p class=""p1"">=ann</p>
</td>
<td class=""td23"" valign=""top"">
<p class=""p1"">near S</p>
<p class=""p1"">near H</p>
<p class=""p1"">away from S+H</p>
</td>
</tr>
</tbody>
</table>
<p class=""p1""> </p>
<p class=""p1""> </p></div>"
472,ats,Atsugewi,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: ráppaw, rapáw</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: éyʔti</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
<tr>
<td>
<p>ehutí</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
473,mnd,Mandarin,
474,ngn,Ngandi,"<div class=""Example""><table class=""example"">
<tr>
<td>
<p>ARM: gu-baṇja</p>
</td>
<td>
<p>""arm""</p>
</td>
</tr>
<tr>
<td>
<p>HAND: gu-maṛ</p>
</td>
<td>
<p>""hand""</p>
</td>
</tr>
</table></div>"
476,knm,Kunama,"<div class=""comments"">
  <dl>
    <dt>instrumental marker:</dt>
    <dd>-bu</dd>
  </dl>
</div>"
477,krb,Kiribatese,"<div class=""comments"">
  
</div>"
